mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6.2257765134175616,0.803639710916241,0.45599889755249023,0.10356748524510699,150,5,20,"{'n_estimators': 150, 'min_samples_split': 5, 'max_depth': 20}",0.9066420664206642,0.9043050430504305,0.9039360393603936,0.9049610496104962,0.0011981663957525948,5
2.1292871634165444,0.46962842477705474,0.14261595408121744,0.0033152573504181128,100,5,10,"{'n_estimators': 100, 'min_samples_split': 5, 'max_depth': 10}",0.9029520295202952,0.9004920049200492,0.9009840098400984,0.9014760147601476,0.0010628521030599052,8
2.5404528776804605,0.025383391256008702,0.2201995849609375,0.014380991942972265,100,5,,"{'n_estimators': 100, 'min_samples_split': 5, 'max_depth': None}",0.9076260762607626,0.9044280442804428,0.9022140221402214,0.9047560475604756,0.002221601834217987,6
3.4819606939951577,0.7236097332769412,0.4048374493916829,0.12269212535178424,150,5,10,"{'n_estimators': 150, 'min_samples_split': 5, 'max_depth': 10}",0.9039360393603936,0.8996309963099631,0.9002460024600246,0.9012710127101271,0.0019011108026846203,10
3.1589998404184976,0.6064132674518281,0.20886778831481934,0.002240185638137051,150,10,10,"{'n_estimators': 150, 'min_samples_split': 10, 'max_depth': 10}",0.9027060270602706,0.9,0.9017220172201722,0.9014760147601476,0.0011183420825736506,8
2.3857552210489907,0.012318049811449547,0.2050193945566813,0.010622915277898638,100,10,,"{'n_estimators': 100, 'min_samples_split': 10, 'max_depth': None}",0.9075030750307503,0.9055350553505535,0.9038130381303813,0.9056170561705615,0.0015075667331570768,2
2.799174944559733,0.5193721739624733,0.3522121111551921,0.11126669420794172,100,10,20,"{'n_estimators': 100, 'min_samples_split': 10, 'max_depth': 20}",0.9075030750307503,0.9061500615006151,0.9018450184501845,0.9051660516605166,0.0024124133962043067,3
2.8029990196228027,0.2829054560366936,0.20062764485677084,0.07823743918528824,100,10,10,"{'n_estimators': 100, 'min_samples_split': 10, 'max_depth': 10}",0.9029520295202952,0.9007380073800738,0.9018450184501845,0.9018450184501846,0.0009038707537945184,7
3.7547693252563477,0.03803525574686828,0.3121804396311442,0.005498942791900642,150,5,,"{'n_estimators': 150, 'min_samples_split': 5, 'max_depth': None}",0.906519065190652,0.9051660516605166,0.903690036900369,0.9051250512505126,0.0011553097829934994,4
4.788915713628133,0.9233530323450818,0.36063456535339355,0.04349606239671731,150,10,,"{'n_estimators': 150, 'min_samples_split': 10, 'max_depth': None}",0.9082410824108241,0.904920049200492,0.9054120541205412,0.906191061910619,0.0014634332347335086,1
